date,animal,uid,utype
7/24/2023,mlati9,161,visuomotor
7/24/2023,mlati9,169,visuomotor
7/24/2023,mlati9,174,visuomotor
7/24/2023,mlati9,178,premotor
7/24/2023,mlati9,186,premotor
7/24/2023,mlati9,187,premotor
7/24/2023,mlati9,189,premotor
7/24/2023,mlati9,197,premotor
7/24/2023,mlati9,206,premotor
7/24/2023,mlati9,213,visuomotor
7/24/2023,mlati9,229,premotor
7/24/2023,mlati9,240,premotor
7/24/2023,mlati9,250,premotor
7/24/2023,mlati9,255,premotor
7/24/2023,mlati9,262,premotor
7/24/2023,mlati9,276,visual
7/24/2023,mlati9,286,visuomotor
7/24/2023,mlati9,290,premotor
7/24/2023,mlati9,301,visuomotor
7/24/2023,mlati9,312,premotor
7/24/2023,mlati9,313,visuomotor
7/24/2023,mlati9,325,visuomotor
7/24/2023,mlati9,326,visuomotor
7/24/2023,mlati9,334,visuomotor
7/25/2023,mlati10,101,premotor
7/25/2023,mlati10,104,premotor
7/25/2023,mlati10,109,visual
7/25/2023,mlati10,219,premotor
7/25/2023,mlati10,221,premotor
7/25/2023,mlati10,230,premotor
7/25/2023,mlati10,231,visuomotor
7/25/2023,mlati10,237,visuomotor
7/25/2023,mlati10,241,premotor
7/25/2023,mlati10,242,visuomotor
7/25/2023,mlati10,266,visuomotor
7/25/2023,mlati10,267,visuomotor
7/25/2023,mlati10,268,visuomotor
7/25/2023,mlati10,299,visuomotor
7/25/2023,mlati10,303,visuomotor
7/25/2023,mlati10,309,visuomotor
7/25/2023,mlati10,320,premotor
7/25/2023,mlati10,322,visuomotor
7/25/2023,mlati10,329,premotor
7/25/2023,mlati10,353,premotor
7/25/2023,mlati10,376,premotor
7/25/2023,mlati10,378,visuomotor
7/25/2023,mlati10,413,visuomotor
7/25/2023,mlati10,420,visuomotor
7/25/2023,mlati10,423,visual
7/25/2023,mlati10,435,visual
7/25/2023,mlati10,437,visual
7/26/2023,mlati9,150,visual
7/26/2023,mlati9,163,visual
7/26/2023,mlati9,194,visuomotor
7/26/2023,mlati9,207,visual
7/26/2023,mlati9,208,visual
7/26/2023,mlati9,214,visual
7/26/2023,mlati9,227,visual
7/26/2023,mlati9,239,visuomotor
7/26/2023,mlati9,262,visual
7/26/2023,mlati9,271,visual
7/26/2023,mlati9,275,visual
7/26/2023,mlati9,276,visual
7/26/2023,mlati9,279,visual
7/26/2023,mlati9,289,visual
7/26/2023,mlati9,290,premotor
7/26/2023,mlati9,302,visual
7/26/2023,mlati9,306,visual
7/26/2023,mlati9,308,visual
7/26/2023,mlati9,310,premotor
7/26/2023,mlati9,311,premotor
7/26/2023,mlati9,314,premotor
7/26/2023,mlati9,318,premotor
7/26/2023,mlati9,323,visual
7/27/2023,mlati10,83,visuomotor
7/27/2023,mlati10,86,visuomotor
7/27/2023,mlati10,87,premotor
7/27/2023,mlati10,93,visuomotor
7/27/2023,mlati10,97,visuomotor
7/27/2023,mlati10,98,visuomotor
7/27/2023,mlati10,99,visuomotor
7/27/2023,mlati10,101,visuomotor
7/27/2023,mlati10,102,premotor
7/27/2023,mlati10,103,premotor
7/27/2023,mlati10,104,premotor
7/27/2023,mlati10,120,visual
7/27/2023,mlati10,121,premotor
7/27/2023,mlati10,122,premotor
7/27/2023,mlati10,125,visuomotor
7/27/2023,mlati10,127,visuomotor
7/27/2023,mlati10,129,visuomotor
7/27/2023,mlati10,133,visuomotor
7/27/2023,mlati10,134,premotor
7/27/2023,mlati10,135,visuomotor
7/27/2023,mlati10,137,premotor
7/27/2023,mlati10,142,premotor
7/27/2023,mlati10,143,premotor
7/27/2023,mlati10,150,visuomotor
7/27/2023,mlati10,153,visuomotor
7/27/2023,mlati10,154,premotor
7/27/2023,mlati10,156,premotor
7/27/2023,mlati10,157,premotor
7/27/2023,mlati10,158,visuomotor
7/27/2023,mlati10,163,visuomotor
7/27/2023,mlati10,174,premotor
7/27/2023,mlati10,183,visual
7/27/2023,mlati10,185,visuomotor
7/27/2023,mlati10,188,premotor
7/27/2023,mlati10,189,premotor
7/27/2023,mlati10,194,visual
7/27/2023,mlati10,202,visual
7/27/2023,mlati10,209,visual
7/27/2023,mlati10,219,premotor
7/27/2023,mlati10,220,premotor
7/27/2023,mlati10,224,visual
7/27/2023,mlati10,234,premotor
7/27/2023,mlati10,236,visual
7/27/2023,mlati10,237,visuomotor
7/28/2023,mlati9,235,visual
7/28/2023,mlati9,256,visual
7/28/2023,mlati9,260,premotor
7/28/2023,mlati9,271,premotor
7/28/2023,mlati9,274,visuomotor
7/28/2023,mlati9,284,visual
7/28/2023,mlati9,290,premotor
7/28/2023,mlati9,298,premotor
7/28/2023,mlati9,299,visuomotor
7/28/2023,mlati9,300,visuomotor
7/28/2023,mlati9,307,visuomotor
7/28/2023,mlati9,313,premotor
7/28/2023,mlati9,315,visual
7/28/2023,mlati9,319,premotor
7/28/2023,mlati9,320,visuomotor
7/28/2023,mlati9,325,visual
7/28/2023,mlati9,329,visuomotor
7/28/2023,mlati9,333,visuomotor
7/31/2023,mlati10,328,premotor
7/31/2023,mlati10,340,premotor
7/31/2023,mlati10,369,visuomotor
7/31/2023,mlati10,389,visuomotor
7/31/2023,mlati10,395,premotor
7/31/2023,mlati10,421,visuomotor
7/31/2023,mlati10,437,visual
7/31/2023,mlati10,461,visual
7/31/2023,mlati10,486,premotor
7/31/2023,mlati10,487,visuomotor
7/31/2023,mlati10,511,premotor
7/31/2023,mlati10,522,visuomotor
7/31/2023,mlati10,527,visuomotor
7/31/2023,mlati10,529,visual
7/31/2023,mlati10,554,visual
7/31/2023,mlati10,572,visual
8/1/2023,mlati10,257,visuomotor
8/1/2023,mlati10,259,premotor
8/1/2023,mlati10,261,visual
8/1/2023,mlati10,263,visual
8/1/2023,mlati10,265,premotor
8/1/2023,mlati10,277,premotor
8/1/2023,mlati10,287,visual
8/1/2023,mlati10,288,visuomotor
8/1/2023,mlati10,289,premotor
8/1/2023,mlati10,290,visuomotor
8/1/2023,mlati10,294,visual
8/1/2023,mlati10,312,premotor
8/1/2023,mlati10,313,premotor
8/1/2023,mlati10,315,visuomotor
8/1/2023,mlati10,322,premotor
8/1/2023,mlati10,323,visual
8/1/2023,mlati10,332,premotor
8/1/2023,mlati10,333,visuomotor
8/1/2023,mlati10,334,premotor
8/1/2023,mlati10,340,premotor
8/1/2023,mlati10,345,premotor
8/1/2023,mlati10,367,visual
