date,animal,uid,utype
2023-07-24,mlati9,125,premotor
2023-07-24,mlati9,178,premotor
2023-07-24,mlati9,186,premotor
2023-07-24,mlati9,187,premotor
2023-07-24,mlati9,189,premotor
2023-07-24,mlati9,197,premotor
2023-07-24,mlati9,206,premotor
2023-07-24,mlati9,229,premotor
2023-07-24,mlati9,240,premotor
2023-07-24,mlati9,250,premotor
2023-07-24,mlati9,255,premotor
2023-07-24,mlati9,262,premotor
2023-07-24,mlati9,290,premotor
2023-07-24,mlati9,312,premotor
2023-07-24,mlati9,118,visual
2023-07-24,mlati9,122,visual
2023-07-24,mlati9,276,visual
2023-07-24,mlati9,0,visuomotor
2023-07-24,mlati9,80,visuomotor
2023-07-24,mlati9,153,visuomotor
2023-07-24,mlati9,160,visuomotor
2023-07-24,mlati9,161,visuomotor
2023-07-24,mlati9,169,visuomotor
2023-07-24,mlati9,174,visuomotor
2023-07-24,mlati9,213,visuomotor
2023-07-24,mlati9,286,visuomotor
2023-07-24,mlati9,301,visuomotor
2023-07-24,mlati9,313,visuomotor
2023-07-24,mlati9,325,visuomotor
2023-07-24,mlati9,326,visuomotor
2023-07-24,mlati9,334,visuomotor
2023-07-24,mlati9,401,visuomotor
2023-07-24,mlati9,431,visuomotor
2023-07-24,mlati9,444,visuomotor
2023-07-24,mlati9,472,visuomotor
2023-07-24,mlati9,483,visuomotor
2023-07-24,mlati9,494,visuomotor
2023-07-24,mlati9,495,visuomotor
2023-07-24,mlati9,496,visuomotor
2023-07-24,mlati9,537,visuomotor
2023-07-24,mlati9,569,visuomotor
2023-07-25,mlati10,101,premotor
2023-07-25,mlati10,104,premotor
2023-07-25,mlati10,219,premotor
2023-07-25,mlati10,221,premotor
2023-07-25,mlati10,230,premotor
2023-07-25,mlati10,241,premotor
2023-07-25,mlati10,320,premotor
2023-07-25,mlati10,329,premotor
2023-07-25,mlati10,353,premotor
2023-07-25,mlati10,376,premotor
2023-07-25,mlati10,109,visual
2023-07-25,mlati10,423,visual
2023-07-25,mlati10,435,visual
2023-07-25,mlati10,437,visual
2023-07-25,mlati10,38,visuomotor
2023-07-25,mlati10,52,visuomotor
2023-07-25,mlati10,142,visuomotor
2023-07-25,mlati10,151,visuomotor
2023-07-25,mlati10,155,visuomotor
2023-07-25,mlati10,163,visuomotor
2023-07-25,mlati10,192,visuomotor
2023-07-25,mlati10,209,visuomotor
2023-07-25,mlati10,212,visuomotor
2023-07-25,mlati10,231,visuomotor
2023-07-25,mlati10,237,visuomotor
2023-07-25,mlati10,242,visuomotor
2023-07-25,mlati10,266,visuomotor
2023-07-25,mlati10,267,visuomotor
2023-07-25,mlati10,268,visuomotor
2023-07-25,mlati10,299,visuomotor
2023-07-25,mlati10,303,visuomotor
2023-07-25,mlati10,309,visuomotor
2023-07-25,mlati10,322,visuomotor
2023-07-25,mlati10,378,visuomotor
2023-07-25,mlati10,413,visuomotor
2023-07-25,mlati10,420,visuomotor
2023-07-26,mlati9,290,premotor
2023-07-26,mlati9,310,premotor
2023-07-26,mlati9,311,premotor
2023-07-26,mlati9,314,premotor
2023-07-26,mlati9,318,premotor
2023-07-26,mlati9,150,visual
2023-07-26,mlati9,163,visual
2023-07-26,mlati9,207,visual
2023-07-26,mlati9,208,visual
2023-07-26,mlati9,214,visual
2023-07-26,mlati9,227,visual
2023-07-26,mlati9,262,visual
2023-07-26,mlati9,271,visual
2023-07-26,mlati9,275,visual
2023-07-26,mlati9,276,visual
2023-07-26,mlati9,279,visual
2023-07-26,mlati9,289,visual
2023-07-26,mlati9,302,visual
2023-07-26,mlati9,306,visual
2023-07-26,mlati9,308,visual
2023-07-26,mlati9,323,visual
2023-07-26,mlati9,47,visuomotor
2023-07-26,mlati9,121,visuomotor
2023-07-26,mlati9,194,visuomotor
2023-07-26,mlati9,239,visuomotor
2023-07-27,mlati10,87,premotor
2023-07-27,mlati10,102,premotor
2023-07-27,mlati10,103,premotor
2023-07-27,mlati10,104,premotor
2023-07-27,mlati10,121,premotor
2023-07-27,mlati10,122,premotor
2023-07-27,mlati10,134,premotor
2023-07-27,mlati10,137,premotor
2023-07-27,mlati10,142,premotor
2023-07-27,mlati10,143,premotor
2023-07-27,mlati10,154,premotor
2023-07-27,mlati10,156,premotor
2023-07-27,mlati10,157,premotor
2023-07-27,mlati10,174,premotor
2023-07-27,mlati10,188,premotor
2023-07-27,mlati10,189,premotor
2023-07-27,mlati10,219,premotor
2023-07-27,mlati10,220,premotor
2023-07-27,mlati10,234,premotor
2023-07-27,mlati10,120,visual
2023-07-27,mlati10,183,visual
2023-07-27,mlati10,194,visual
2023-07-27,mlati10,202,visual
2023-07-27,mlati10,209,visual
2023-07-27,mlati10,224,visual
2023-07-27,mlati10,236,visual
2023-07-27,mlati10,0,visuomotor
2023-07-27,mlati10,8,visuomotor
2023-07-27,mlati10,23,visuomotor
2023-07-27,mlati10,31,visuomotor
2023-07-27,mlati10,32,visuomotor
2023-07-27,mlati10,33,visuomotor
2023-07-27,mlati10,35,visuomotor
2023-07-27,mlati10,37,visuomotor
2023-07-27,mlati10,45,visuomotor
2023-07-27,mlati10,49,visuomotor
2023-07-27,mlati10,50,visuomotor
2023-07-27,mlati10,70,visuomotor
2023-07-27,mlati10,79,visuomotor
2023-07-27,mlati10,83,visuomotor
